Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.2,23.3,29.3,23.3 - 29.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.2,23.9,30.7,23.9 - 30.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.4,23.5,31.6,23.5 - 31.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.1,21.5,24.7,21.5 - 24.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.2,26.1,28.3,26.1 - 28.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.2,25.3,27.2,25.3 - 27.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,40.5,37.9,43.2,37.9 - 43.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.2,22.6,23.9,22.6 - 23.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.3,17.0,28.4,17.0 - 28.4,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.8,21.2,28.8,21.2 - 28.8,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,29.0,25.7,32.6,25.7 - 32.6,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.3,15.7,25.6,15.7 - 25.6,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,31.7,29.5,33.9,29.5 - 33.9,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.7,19.8,25.8,19.8 - 25.8,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.3,24.9,32.0,24.9 - 32.0,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,33.1,25.8,41.0,25.8 - 41.0,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,37.0,30.4,43.9,30.4 - 43.9,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.8,25.1,32.7,25.1 - 32.7,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.8,20.9,29.0,20.9 - 29.0,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,32.5,27.5,37.7,27.5 - 37.7,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.8,15.3,22.6,15.3 - 22.6,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.8,21.1,28.8,21.1 - 28.8,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.4,17.5,25.7,17.5 - 25.7,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,17.2,13.3,21.7,13.3 - 21.7,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.0,14.7,23.8,14.7 - 23.8,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.0,18.9,31.8,18.9 - 31.8,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.6,15.8,28.2,15.8 - 28.2,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.8,17.6,28.7,17.6 - 28.7,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,31.5,27.6,35.6,27.6 - 35.6,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,31.0,28.0,34.2,28.0 - 34.2,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.2,23.4,31.3,23.4 - 31.3,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.2,24.7,31.9,24.7 - 31.9,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,17.6,12.6,23.4,12.6 - 23.4,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.4,18.1,25.0,18.1 - 25.0,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.9,15.2,23.2,15.2 - 23.2,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,13.4,10.1,17.4,10.1 - 17.4,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.8,23.0,31.0,23.0 - 31.0,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,30.0,25.1,35.3,25.1 - 35.3,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.3,24.8,32.0,24.8 - 32.0,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.1,22.0,30.4,22.0 - 30.4,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.9,21.5,30.6,21.5 - 30.6,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.7,20.4,29.4,20.4 - 29.4,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,13.4,9.0,19.0,9.0 - 19.0,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.1,17.3,25.3,17.3 - 25.3,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.7,17.2,26.8,17.2 - 26.8,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.1,23.3,31.2,23.3 - 31.2,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.0,22.7,29.5,22.7 - 29.5,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.9,24.0,34.2,24.0 - 34.2,28.3-37.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.1,17.0,27.8,17.0 - 27.8,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.4,12.9,25.0,12.9 - 25.0,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.4,14.9,22.3,14.9 - 22.3,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.4,22.2,28.9,22.2 - 28.9,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.1,18.6,26.0,18.6 - 26.0,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.1,18.4,28.3,18.4 - 28.3,20.4-24.8,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.8,23.0,28.8,23.0 - 28.8,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.6,22.5,28.8,22.5 - 28.8,24.9-28.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.4,13.3,24.5,13.3 - 24.5,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.8,15.5,22.4,15.5 - 22.4,13.4-20.3,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,14.1,10.7,18.1,10.7 - 18.1,13.4-20.3,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.0,22.9,25.2,22.9 - 25.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,High school diploma or GED or lower,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.6,22.0,27.4,22.0 - 27.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Some college/Associate's degree,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.1,21.3,24.9,21.3 - 24.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Bachelor's degree or higher,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.2,23.0,25.4,23.0 - 25.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,Hispanic or Latino,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.0,21.6,28.6,21.6 - 28.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic White, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.0,20.8,23.2,20.8 - 23.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Black, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.1,24.4,32.0,24.4 - 32.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Asian, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,34.2,25.7,43.5,25.7 - 43.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic, other races and multiple races",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.1,16.6,26.1,16.6 - 26.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,Yes,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.2,17.5,34.3,17.5 - 34.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,No,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.0,22.9,25.2,22.9 - 25.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Private only,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.8,21.5,24.2,21.5 - 24.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Any public,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,29.4,26.3,32.7,26.3 - 32.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,No insurance,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,16.2,13.2,19.5,13.2 - 19.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"Less than $25,000",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.5,20.2,27.1,20.2 - 27.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$25,000 - $34,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.0,21.0,29.3,21.0 - 29.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$35,000 - $49,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.3,22.0,31.0,22.0 - 31.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$50,000 - $74,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.1,20.6,30.1,20.6 - 30.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$75,000 - $99,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.9,19.2,24.8,19.2 - 24.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$100,000 - $149,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.0,20.7,25.5,20.7 - 25.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$150,000 - $199,999",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.3,17.6,23.2,17.6 - 23.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$200,000 and above",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.6,26.0,31.3,26.0 - 31.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,Did not report,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.6,19.0,26.5,19.0 - 26.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,15.4,9.5,23.1,9.5 - 23.1,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.3,14.2,25.2,14.2 - 25.2,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.7,16.6,27.5,16.6 - 27.5,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,10.0,6.1,15.2,6.1 - 15.2,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.6,20.3,31.4,20.3 - 31.4,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.7,14.7,23.2,14.7 - 23.2,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.0,22.0,34.8,22.0 - 34.8,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.4,15.0,31.3,15.0 - 31.3,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,30.2,20.8,41.0,20.8 - 41.0,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.0,18.4,32.7,18.4 - 32.7,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.0,14.0,29.5,14.0 - 29.5,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.8,18.3,39.1,18.3 - 39.1,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.6,16.8,31.5,16.8 - 31.5,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.4,15.9,25.7,15.9 - 25.7,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.4,19.2,34.7,19.2 - 34.7,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.8,12.9,28.4,12.9 - 28.4,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.6,20.6,37.7,20.6 - 37.7,27.8-33.2,
